
#clusternum,posRMS,velRMS,totRMS,astromRMS,timespan,uniquepoints,obsnights,metric,orbit_a,orbit_e,orbit_MJD,orbitX,orbitY,orbitZ,orbitVX,orbitVY,orbitVZ,orbit_eval_count,avg_det_qual,max_known_obj,minvel,maxvel,minGCR,maxGCR,minpa,maxpa,mintimespan,maxtimespan,minarc,maxarc,stringID,min_nightstep,max_nightstep,magmean,magrms,magrange,rating,crossaccel,alongaccel,totalaccel
0,10703.244,13429.288,17172.805,0.0604,4.017879,10,3,8773.376989,2.941398,0.841830,59809.423871,298699437.3,-127369763.2,5818831.3,-22.2605,-4.2669,-1.3869,90,-1.0,0,0.199281,0.206239,0.034692,0.038702,244.348783,244.744506,0.299256,0.898682,9.257741,27.068789,ps1_59809_1116730,0.983136,2.947501,20.238000,0.184980,0.420000,MIXED,0.000028,0.000956,0.000956
#MPC 80-column formatted observations:
#clusternum,posRMS,velRMS,totRMS,astromRMS,timespan,uniquepoints,obsnights,metric,orbit_a,orbit_e,orbit_MJD,orbitX,orbitY,orbitZ,orbitVX,orbitVY,orbitVZ,orbit_eval_count,avg_det_qual,max_known_obj,minvel,maxvel,minGCR,maxGCR,minpa,maxpa,mintimespan,maxtimespan,minarc,maxarc,stringID,min_nightstep,max_nightstep,magmean,magrms,magrange,rating,crossaccel,alongaccel,totalaccel
3,9968.922,29332.510,30980.244,0.0808,8.978950,11,3,7360.812101,1.473098,0.695707,59810.438039,328798981.2,-176664987.8,17168708.6,-4.4952,-9.0674,-2.3904,76,-1.0,0,0.141713,0.142945,0.013019,0.029295,236.539910,237.378885,0.647398,0.898853,13.807628,19.272966,ps1_59810_0726087,2.924988,5.952195,19.489091,0.047635,0.059999,MIXED,0.000115,0.000086,0.000144
#MPC 80-column formatted observations:
     a000003  C2022 08 19.45246522 11 14.094-08 23 29.05         19.5 w      F51
     a000003  C2022 08 19.46492422 11 13.733-08 23 32.49         19.5 w      F51
     a000003  C2022 08 19.47736522 11 13.371-08 23 35.86         19.5 w      F51
     a000003  C2022 08 19.48980522 11 13.013-08 23 39.34         19.5 w      F51
     a000003  C2022 08 22.41479322 09 52.137-08 37 12.10         19.5 w      F51
     a000003  C2022 08 22.42730022 09 51.768-08 37 15.61         19.5 w      F51
     a000003  C2022 08 22.43977822 09 51.407-08 37 19.10         19.4 w      F51
     a000003  C2022 08 22.45224522 09 51.045-08 37 22.56         19.5 w      F51
     a000003  C2022 08 28.40444022 07 06.007-09 05 20.74         19.5 w      F52
     a000003  C2022 08 28.41792522 07 05.620-09 05 24.56         19.6 w      F52
     a000003  C2022 08 28.43141522 07 05.230-09 05 28.35         19.5 w      F52

#clusternum,posRMS,velRMS,totRMS,astromRMS,timespan,uniquepoints,obsnights,metric,orbit_a,orbit_e,orbit_MJD,orbitX,orbitY,orbitZ,orbitVX,orbitVY,orbitVZ,orbit_eval_count,avg_det_qual,max_known_obj,minvel,maxvel,minGCR,maxGCR,minpa,maxpa,mintimespan,maxtimespan,minarc,maxarc,stringID,min_nightstep,max_nightstep,magmean,magrms,magrange,rating,crossaccel,alongaccel,totalaccel
4,22942.711,14556.396,27170.879,0.0808,7.968577,11,3,7350.323561,1.142989,0.649525,59809.422946,241548979.5,-145346176.2,115840.8,-6.0139,-11.0776,-2.5508,75,-1.0,0,0.231427,0.232739,0.016123,0.132409,239.290156,239.657108,0.446537,0.898577,15.512320,31.368368,ps1_59809_1103539,3.933497,3.941595,19.133636,0.122006,0.330002,MIXED,0.000001,-0.000015,0.000015
#MPC 80-column formatted observations:
     a000004  C2022 08 18.43382922 04 21.564-11 48 50.52         19.2 w      F51
     a000004  C2022 08 18.44628522 04 20.956-11 48 55.82         19.1 w      F51
     a000004  C2022 08 18.45878522 04 20.345-11 49 01.12         19.1 w      F51
     a000004  C2022 08 18.47127022 04 19.738-11 49 06.45         19.1 w      F51
     a000004  C2022 08 22.41286522 01 14.341-12 17 10.16         19.0 w      F51
     a000004  C2022 08 22.42536822 01 13.714-12 17 15.66         19.0 w      F51
     a000004  C2022 08 22.45030322 01 12.495-12 17 26.13         19.0 w      F51
     a000004  C2022 08 26.38380021 58 06.914-12 45 17.81         19.2 w      F51
     a000004  C2022 08 26.39291021 58 06.463-12 45 21.68         19.2 w      F51
     a000004  C2022 08 26.40176321 58 06.030-12 45 25.35         19.3 w      F51
     a000004  C2022 08 26.40240621 58 05.998-12 45 25.67         19.3 w      F51

#clusternum,posRMS,velRMS,totRMS,astromRMS,timespan,uniquepoints,obsnights,metric,orbit_a,orbit_e,orbit_MJD,orbitX,orbitY,orbitZ,orbitVX,orbitVY,orbitVZ,orbit_eval_count,avg_det_qual,max_known_obj,minvel,maxvel,minGCR,maxGCR,minpa,maxpa,mintimespan,maxtimespan,minarc,maxarc,stringID,min_nightstep,max_nightstep,magmean,magrms,magrange,rating,crossaccel,alongaccel,totalaccel
5,13557.134,44916.372,46917.762,0.0943,8.992429,12,3,7201.210710,3.363183,0.426298,59810.434685,407327023.2,-214373668.8,14995809.8,-13.9927,-10.7429,-1.1633,81,-1.0,0,0.177163,0.181479,0.013283,0.032691,246.238680,246.753345,0.896162,0.970891,23.815022,26.429465,ps1_59810_0724542,2.924988,5.952195,19.485000,0.078102,0.139999,MIXED,0.000103,0.000299,0.000316
#MPC 80-column formatted observations:
     a000005  C2022 08 19.45246522 14 11.813-08 56 03.09         19.4 w      F51
     a000005  C2022 08 19.46492422 14 11.321-08 56 06.22         19.4 w      F51
     a000005  C2022 08 19.47736522 14 10.828-08 56 09.35         19.5 w      F51
     a000005  C2022 08 19.48980522 14 10.336-08 56 12.49         19.4 w      F51
     a000005  C2022 08 22.41479322 12 18.035-09 08 38.39         19.5 w      F51
     a000005  C2022 08 22.42730022 12 17.534-09 08 41.69         19.4 w      F51
     a000005  C2022 08 22.43977822 12 17.034-09 08 44.84         19.4 w      F51
     a000005  C2022 08 22.45224522 12 16.533-09 08 48.06         19.5 w      F51
     a000005  C2022 08 28.40444022 08 24.553-09 34 40.72         19.5 w      F52
     a000005  C2022 08 28.41792522 08 24.010-09 34 44.27         19.7 w      F52
     a000005  C2022 08 28.43141522 08 23.466-09 34 47.84         19.5 w      F52
     a000005  C2022 08 28.44489422 08 22.917-09 34 51.36         19.5 w      F52

#clusternum,posRMS,velRMS,totRMS,astromRMS,timespan,uniquepoints,obsnights,metric,orbit_a,orbit_e,orbit_MJD,orbitX,orbitY,orbitZ,orbitVX,orbitVY,orbitVZ,orbit_eval_count,avg_det_qual,max_known_obj,minvel,maxvel,minGCR,maxGCR,minpa,maxpa,mintimespan,maxtimespan,minarc,maxarc,stringID,min_nightstep,max_nightstep,magmean,magrms,magrange,rating,crossaccel,alongaccel,totalaccel
6,7403.529,28680.826,29620.973,0.1306,7.974660,15,3,6563.250018,3.322510,0.634682,59813.399324,327825813.8,-199899856.1,-8133342.4,2.5005,-20.1218,3.6019,80,-1.0,0,0.207434,0.215625,0.016021,0.085674,262.898257,263.881743,0.875088,0.971731,27.228438,30.677894,ps1_59813_0994959,1.910605,5.949659,18.794000,0.153241,0.349998,MIXED,-0.000149,-0.000604,0.000622
#MPC 80-column formatted observations:
     a000006  C2022 08 22.41415122 04 49.786-13 05 26.52         18.6 w      F51
     a000006  C2022 08 22.42600922 04 49.162-13 05 27.43         18.5 w      F51
     a000006  C2022 08 22.42665422 04 49.125-13 05 27.70         18.6 w      F51
     a000006  C2022 08 22.43848722 04 48.504-13 05 28.87         18.7 w      F51
     a000006  C2022 08 22.43913222 04 48.469-13 05 28.89         18.7 w      F51
     a000006  C2022 08 22.45095222 04 47.846-13 05 29.96         18.7 w      F51
     a000006  C2022 08 22.45159722 04 47.811-13 05 30.06         18.7 w      F51
     a000006  C2022 08 28.40125621 59 46.097-13 14 23.61         18.9 w      F52
     a000006  C2022 08 28.41476821 59 45.402-13 14 24.74         19.0 w      F52
     a000006  C2022 08 28.42823821 59 44.705-13 14 25.86         18.9 w      F52
     a000006  C2022 08 28.44174421 59 44.010-13 14 27.00         18.9 w      F52
     a000006  C2022 08 30.35234921 58 09.268-13 17 01.68         19.0 w      F52
     a000006  C2022 08 30.36448421 58 08.650-13 17 02.64         18.9 w      F52
     a000006  C2022 08 30.37660921 58 08.035-13 17 03.66         19.0 w      F52
     a000006  C2022 08 30.38881121 58 07.413-13 17 04.56         19.0 w      F52

#clusternum,posRMS,velRMS,totRMS,astromRMS,timespan,uniquepoints,obsnights,metric,orbit_a,orbit_e,orbit_MJD,orbitX,orbitY,orbitZ,orbitVX,orbitVY,orbitVZ,orbit_eval_count,avg_det_qual,max_known_obj,minvel,maxvel,minGCR,maxGCR,minpa,maxpa,mintimespan,maxtimespan,minarc,maxarc,stringID,min_nightstep,max_nightstep,magmean,magrms,magrange,rating,crossaccel,alongaccel,totalaccel
7,14482.342,19300.906,24130.131,0.1002,7.974675,12,3,6380.149181,1.379033,0.676490,59813.402216,247056748.3,-155886121.9,-14389058.3,1.0032,-16.2099,-0.6579,85,-1.0,0,0.219612,0.230326,0.036130,0.097106,249.353219,249.746741,0.875273,0.971731,28.833064,32.482536,ps1_59813_0992851,1.909968,5.950304,20.247500,0.211235,0.490000,MIXED,-0.000179,-0.000673,0.000697
#MPC 80-column formatted observations:
     a000007  C2022 08 22.41350722 03 45.007-14 54 07.92         20.2 w      F51
     a000007  C2022 08 22.42600922 03 44.326-14 54 11.49         19.8 w      F51
     a000007  C2022 08 22.43848722 03 43.659-14 54 15.20         20.0 w      F51
